"Genus","swab_type2","detection_prevalence","n_detected","n_samples"
"1174-901-12","Copan",0,0,10
"1174-901-12","Eswab",0.1,1,10
"1174-901-12","Omni",0,0,10
"1174-901-12","Puritan_buffer",0,0,10
"1174-901-12","Puritan_gel",0.1,1,10
"28-YEA-48","Copan",0,0,10
"28-YEA-48","Eswab",0,0,10
"28-YEA-48","Omni",0,0,10
"28-YEA-48","Puritan_buffer",0,0,10
"28-YEA-48","Puritan_gel",0.1,1,10
"67-14","Copan",0,0,10
"67-14","Eswab",0,0,10
"67-14","Omni",0.3,3,10
"67-14","Puritan_buffer",0,0,10
"67-14","Puritan_gel",0,0,10
"AKYG1722","Copan",0,0,10
"AKYG1722","Eswab",0,0,10
"AKYG1722","Omni",0.1,1,10
"AKYG1722","Puritan_buffer",0,0,10
"AKYG1722","Puritan_gel",0,0,10
"Abditibacterium","Copan",0.1,1,10
"Abditibacterium","Eswab",0,0,10
"Abditibacterium","Omni",0,0,10
"Abditibacterium","Puritan_buffer",0,0,10
"Abditibacterium","Puritan_gel",0,0,10
"Acetobacter","Copan",0.3,3,10
"Acetobacter","Eswab",0,0,10
"Acetobacter","Omni",0.2,2,10
"Acetobacter","Puritan_buffer",0.1,1,10
"Acetobacter","Puritan_gel",0.2,2,10
"Acetobacteraceae_f","Copan",0.1,1,10
"Acetobacteraceae_f","Eswab",0.2,2,10
"Acetobacteraceae_f","Omni",0.1,1,10
"Acetobacteraceae_f","Puritan_buffer",0.1,1,10
"Acetobacteraceae_f","Puritan_gel",0.1,1,10
"Acidimicrobiia_c","Copan",0.1,1,10
"Acidimicrobiia_c","Eswab",0,0,10
"Acidimicrobiia_c","Omni",0.1,1,10
"Acidimicrobiia_c","Puritan_buffer",0.2,2,10
"Acidimicrobiia_c","Puritan_gel",0.1,1,10
"Acidobacteriaceae_(Subgroup_1)_f","Copan",0,0,10
"Acidobacteriaceae_(Subgroup_1)_f","Eswab",0,0,10
"Acidobacteriaceae_(Subgroup_1)_f","Omni",0,0,10
"Acidobacteriaceae_(Subgroup_1)_f","Puritan_buffer",0,0,10
"Acidobacteriaceae_(Subgroup_1)_f","Puritan_gel",0.1,1,10
"Acidocella","Copan",0.1,1,10
"Acidocella","Eswab",0,0,10
"Acidocella","Omni",0,0,10
"Acidocella","Puritan_buffer",0,0,10
"Acidocella","Puritan_gel",0,0,10
"Acidovorax","Copan",0.2,2,10
"Acidovorax","Eswab",0.1,1,10
"Acidovorax","Omni",0,0,10
"Acidovorax","Puritan_buffer",0.1,1,10
"Acidovorax","Puritan_gel",0.1,1,10
"Acinetobacter","Copan",0.2,2,10
"Acinetobacter","Eswab",0,0,10
"Acinetobacter","Omni",0.1,1,10
"Acinetobacter","Puritan_buffer",0.2,2,10
"Acinetobacter","Puritan_gel",0.1,1,10
"Actinobacteria_c","Copan",0,0,10
"Actinobacteria_c","Eswab",0.1,1,10
"Actinobacteria_c","Omni",0.1,1,10
"Actinobacteria_c","Puritan_buffer",0,0,10
"Actinobacteria_c","Puritan_gel",0.1,1,10
"Actinomyces","Copan",0.5,5,10
"Actinomyces","Eswab",0.6,6,10
"Actinomyces","Omni",0.5,5,10
"Actinomyces","Puritan_buffer",0.6,6,10
"Actinomyces","Puritan_gel",0.5,5,10
"Actinomycetaceae","Copan",0.3,3,10
"Actinomycetaceae","Eswab",0,0,10
"Actinomycetaceae","Omni",0.1,1,10
"Actinomycetaceae","Puritan_buffer",0.3,3,10
"Actinomycetaceae","Puritan_gel",0.2,2,10
"Actinomycetospora","Copan",0.2,2,10
"Actinomycetospora","Eswab",0.2,2,10
"Actinomycetospora","Omni",0.2,2,10
"Actinomycetospora","Puritan_buffer",0.1,1,10
"Actinomycetospora","Puritan_gel",0.2,2,10
"Afipia","Copan",0,0,10
"Afipia","Eswab",0,0,10
"Afipia","Omni",0,0,10
"Afipia","Puritan_buffer",0,0,10
"Afipia","Puritan_gel",0.1,1,10
"Agrococcus","Copan",0,0,10
"Agrococcus","Eswab",0,0,10
"Agrococcus","Omni",0.2,2,10
"Agrococcus","Puritan_buffer",0,0,10
"Agrococcus","Puritan_gel",0,0,10
"Aliihoeflea","Copan",0.1,1,10
"Aliihoeflea","Eswab",0,0,10
"Aliihoeflea","Omni",0,0,10
"Aliihoeflea","Puritan_buffer",0,0,10
"Aliihoeflea","Puritan_gel",0,0,10
"Alishewanella","Copan",0.1,1,10
"Alishewanella","Eswab",0,0,10
"Alishewanella","Omni",0,0,10
"Alishewanella","Puritan_buffer",0,0,10
"Alishewanella","Puritan_gel",0,0,10
"Alistipes","Copan",0.1,1,10
"Alistipes","Eswab",0,0,10
"Alistipes","Omni",0.1,1,10
"Alistipes","Puritan_buffer",0,0,10
"Alistipes","Puritan_gel",0,0,10
"Alkalibacterium","Copan",0,0,10
"Alkalibacterium","Eswab",0.1,1,10
"Alkalibacterium","Omni",0,0,10
"Alkalibacterium","Puritan_buffer",0,0,10
"Alkalibacterium","Puritan_gel",0,0,10
"Alloprevotella","Copan",0.3,3,10
"Alloprevotella","Eswab",0,0,10
"Alloprevotella","Omni",0.1,1,10
"Alloprevotella","Puritan_buffer",0,0,10
"Alloprevotella","Puritan_gel",0,0,10
"Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium","Copan",0.3,3,10
"Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium","Eswab",0,0,10
"Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium","Omni",0.1,1,10
"Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium","Puritan_buffer",0.2,2,10
"Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium","Puritan_gel",0.2,2,10
"Alphaproteobacteria_c","Copan",0.1,1,10
"Alphaproteobacteria_c","Eswab",0.1,1,10
"Alphaproteobacteria_c","Omni",0.2,2,10
"Alphaproteobacteria_c","Puritan_buffer",0,0,10
"Alphaproteobacteria_c","Puritan_gel",0,0,10
"Amaricoccus","Copan",0,0,10
"Amaricoccus","Eswab",0,0,10
"Amaricoccus","Omni",0.1,1,10
"Amaricoccus","Puritan_buffer",0.2,2,10
"Amaricoccus","Puritan_gel",0,0,10
"Amb-16S-1323","Copan",0,0,10
"Amb-16S-1323","Eswab",0,0,10
"Amb-16S-1323","Omni",0,0,10
"Amb-16S-1323","Puritan_buffer",0.1,1,10
"Amb-16S-1323","Puritan_gel",0,0,10
"Aminobacter","Copan",0,0,10
"Aminobacter","Eswab",0,0,10
"Aminobacter","Omni",0,0,10
"Aminobacter","Puritan_buffer",0,0,10
"Aminobacter","Puritan_gel",0.1,1,10
"Anaerococcus","Copan",0.8,8,10
"Anaerococcus","Eswab",0.6,6,10
"Anaerococcus","Omni",0.8,8,10
"Anaerococcus","Puritan_buffer",0.8,8,10
"Anaerococcus","Puritan_gel",0.8,8,10
"Anaeroplasma","Copan",0.1,1,10
"Anaeroplasma","Eswab",0,0,10
"Anaeroplasma","Omni",0,0,10
"Anaeroplasma","Puritan_buffer",0.1,1,10
"Anaeroplasma","Puritan_gel",0,0,10
"Anoxybacillus","Copan",0.1,1,10
"Anoxybacillus","Eswab",0,0,10
"Anoxybacillus","Omni",0.1,1,10
"Anoxybacillus","Puritan_buffer",0.1,1,10
"Anoxybacillus","Puritan_gel",0.1,1,10
"Antricoccus","Copan",0.2,2,10
"Antricoccus","Eswab",0.1,1,10
"Antricoccus","Omni",0.3,3,10
"Antricoccus","Puritan_buffer",0.2,2,10
"Antricoccus","Puritan_gel",0.2,2,10
"Aquabacterium","Copan",0,0,10
"Aquabacterium","Eswab",0,0,10
"Aquabacterium","Omni",0.1,1,10
"Aquabacterium","Puritan_buffer",0,0,10
"Aquabacterium","Puritan_gel",0.2,2,10
"Arcobacter","Copan",0,0,10
"Arcobacter","Eswab",0,0,10
"Arcobacter","Omni",0.1,1,10
"Arcobacter","Puritan_buffer",0,0,10
"Arcobacter","Puritan_gel",0,0,10
"Aridibacter","Copan",0,0,10
"Aridibacter","Eswab",0,0,10
"Aridibacter","Omni",0,0,10
"Aridibacter","Puritan_buffer",0.1,1,10
"Aridibacter","Puritan_gel",0,0,10
"Armatimonadales","Copan",0.1,1,10
"Armatimonadales","Eswab",0,0,10
"Armatimonadales","Omni",0,0,10
"Armatimonadales","Puritan_buffer",0,0,10
"Armatimonadales","Puritan_gel",0.1,1,10
"Arsenicicoccus","Copan",0.1,1,10
"Arsenicicoccus","Eswab",0.1,1,10
"Arsenicicoccus","Omni",0.2,2,10
"Arsenicicoccus","Puritan_buffer",0.1,1,10
"Arsenicicoccus","Puritan_gel",0.2,2,10
"Arthrobacter","Copan",0,0,10
"Arthrobacter","Eswab",0,0,10
"Arthrobacter","Omni",0,0,10
"Arthrobacter","Puritan_buffer",0.1,1,10
"Arthrobacter","Puritan_gel",0,0,10
"Asaia","Copan",0.1,1,10
"Asaia","Eswab",0,0,10
"Asaia","Omni",0,0,10
"Asaia","Puritan_buffer",0,0,10
"Asaia","Puritan_gel",0.1,1,10
"Asticcacaulis","Copan",0,0,10
"Asticcacaulis","Eswab",0,0,10
"Asticcacaulis","Omni",0,0,10
"Asticcacaulis","Puritan_buffer",0,0,10
"Asticcacaulis","Puritan_gel",0.1,1,10
"Atopobium","Copan",0.3,3,10
"Atopobium","Eswab",0,0,10
"Atopobium","Omni",0.1,1,10
"Atopobium","Puritan_buffer",0.2,2,10
"Atopobium","Puritan_gel",0.1,1,10
"Atopostipes","Copan",0.3,3,10
"Atopostipes","Eswab",0.2,2,10
"Atopostipes","Omni",0.2,2,10
"Atopostipes","Puritan_buffer",0,0,10
"Atopostipes","Puritan_gel",0.2,2,10
"Aureimonas","Copan",0.1,1,10
"Aureimonas","Eswab",0,0,10
"Aureimonas","Omni",0.1,1,10
"Aureimonas","Puritan_buffer",0.1,1,10
"Aureimonas","Puritan_gel",0.1,1,10
"Babeliaceae","Copan",0,0,10
"Babeliaceae","Eswab",0,0,10
"Babeliaceae","Omni",0,0,10
"Babeliaceae","Puritan_buffer",0,0,10
"Babeliaceae","Puritan_gel",0.1,1,10
"Bacillaceae_f","Copan",0.1,1,10
"Bacillaceae_f","Eswab",0,0,10
"Bacillaceae_f","Omni",0,0,10
"Bacillaceae_f","Puritan_buffer",0,0,10
"Bacillaceae_f","Puritan_gel",0.2,2,10
"Bacillus","Copan",0.3,3,10
"Bacillus","Eswab",0.1,1,10
"Bacillus","Omni",0.1,1,10
"Bacillus","Puritan_buffer",0.3,3,10
"Bacillus","Puritan_gel",0.2,2,10
"Bacteria_k","Copan",0.2,2,10
"Bacteria_k","Eswab",0.1,1,10
"Bacteria_k","Omni",0,0,10
"Bacteria_k","Puritan_buffer",0,0,10
"Bacteria_k","Puritan_gel",0,0,10
"Bacteroidia_c","Copan",0,0,10
"Bacteroidia_c","Eswab",0.1,1,10
"Bacteroidia_c","Omni",0,0,10
"Bacteroidia_c","Puritan_buffer",0,0,10
"Bacteroidia_c","Puritan_gel",0,0,10
"Bdellovibrio","Copan",0,0,10
"Bdellovibrio","Eswab",0,0,10
"Bdellovibrio","Omni",0.1,1,10
"Bdellovibrio","Puritan_buffer",0,0,10
"Bdellovibrio","Puritan_gel",0.1,1,10
"Beijerinckiaceae_f","Copan",0.3,3,10
"Beijerinckiaceae_f","Eswab",0.2,2,10
"Beijerinckiaceae_f","Omni",0.1,1,10
"Beijerinckiaceae_f","Puritan_buffer",0.2,2,10
"Beijerinckiaceae_f","Puritan_gel",0.2,2,10
"Belnapia","Copan",0.1,1,10
"Belnapia","Eswab",0,0,10
"Belnapia","Omni",0,0,10
"Belnapia","Puritan_buffer",0,0,10
"Belnapia","Puritan_gel",0,0,10
"Bergeyella","Copan",0.1,1,10
"Bergeyella","Eswab",0,0,10
"Bergeyella","Omni",0,0,10
"Bergeyella","Puritan_buffer",0,0,10
"Bergeyella","Puritan_gel",0,0,10
"Berkelbacteria","Copan",0,0,10
"Berkelbacteria","Eswab",0,0,10
"Berkelbacteria","Omni",0,0,10
"Berkelbacteria","Puritan_buffer",0.1,1,10
"Berkelbacteria","Puritan_gel",0,0,10
"Blastococcus","Copan",0.2,2,10
"Blastococcus","Eswab",0.2,2,10
"Blastococcus","Omni",0.3,3,10
"Blastococcus","Puritan_buffer",0.2,2,10
"Blastococcus","Puritan_gel",0.3,3,10
"Bosea","Copan",0.1,1,10
"Bosea","Eswab",0.3,3,10
"Bosea","Omni",0.2,2,10
"Bosea","Puritan_buffer",0.1,1,10
"Bosea","Puritan_gel",0.1,1,10
"Brachybacterium","Copan",0.1,1,10
"Brachybacterium","Eswab",0.1,1,10
"Brachybacterium","Omni",0.1,1,10
"Brachybacterium","Puritan_buffer",0.1,1,10
"Brachybacterium","Puritan_gel",0,0,10
"Bradyrhizobium","Copan",0.1,1,10
"Bradyrhizobium","Eswab",0,0,10
"Bradyrhizobium","Omni",0,0,10
"Bradyrhizobium","Puritan_buffer",0,0,10
"Bradyrhizobium","Puritan_gel",0,0,10
"Brevibacillus","Copan",0,0,10
"Brevibacillus","Eswab",0,0,10
"Brevibacillus","Omni",0,0,10
"Brevibacillus","Puritan_buffer",0.1,1,10
"Brevibacillus","Puritan_gel",0,0,10
"Brevibacterium","Copan",0,0,10
"Brevibacterium","Eswab",0.1,1,10
"Brevibacterium","Omni",0.2,2,10
"Brevibacterium","Puritan_buffer",0,0,10
"Brevibacterium","Puritan_gel",0.1,1,10
"Brevundimonas","Copan",0,0,10
"Brevundimonas","Eswab",0,0,10
"Brevundimonas","Omni",0.1,1,10
"Brevundimonas","Puritan_buffer",0.1,1,10
"Brevundimonas","Puritan_gel",0,0,10
"Bulleidia","Copan",0,0,10
"Bulleidia","Eswab",0,0,10
"Bulleidia","Omni",0,0,10
"Bulleidia","Puritan_buffer",0.1,1,10
"Bulleidia","Puritan_gel",0,0,10
"Burkholderia-Caballeronia-Paraburkholderia","Copan",0.1,1,10
"Burkholderia-Caballeronia-Paraburkholderia","Eswab",0.1,1,10
"Burkholderia-Caballeronia-Paraburkholderia","Omni",0.2,2,10
"Burkholderia-Caballeronia-Paraburkholderia","Puritan_buffer",0,0,10
"Burkholderia-Caballeronia-Paraburkholderia","Puritan_gel",0,0,10
"Burkholderiales_o","Copan",0.1,1,10
"Burkholderiales_o","Eswab",0,0,10
"Burkholderiales_o","Omni",0,0,10
"Burkholderiales_o","Puritan_buffer",0,0,10
"Burkholderiales_o","Puritan_gel",0,0,10
"Calidifontibacter","Copan",0.3,3,10
"Calidifontibacter","Eswab",0.5,5,10
"Calidifontibacter","Omni",0.2,2,10
"Calidifontibacter","Puritan_buffer",0.1,1,10
"Calidifontibacter","Puritan_gel",0.2,2,10
"Calothrix_PCC-6303","Copan",0,0,10
"Calothrix_PCC-6303","Eswab",0,0,10
"Calothrix_PCC-6303","Omni",0.1,1,10
"Calothrix_PCC-6303","Puritan_buffer",0.1,1,10
"Calothrix_PCC-6303","Puritan_gel",0,0,10
"Candidatus_Alysiosphaera","Copan",0,0,10
"Candidatus_Alysiosphaera","Eswab",0,0,10
"Candidatus_Alysiosphaera","Omni",0.1,1,10
"Candidatus_Alysiosphaera","Puritan_buffer",0,0,10
"Candidatus_Alysiosphaera","Puritan_gel",0.1,1,10
"Capnocytophaga","Copan",0,0,10
"Capnocytophaga","Eswab",0,0,10
"Capnocytophaga","Omni",0,0,10
"Capnocytophaga","Puritan_buffer",0,0,10
"Capnocytophaga","Puritan_gel",0.2,2,10
"Caulobacter","Copan",0.1,1,10
"Caulobacter","Eswab",0.2,2,10
"Caulobacter","Omni",0.1,1,10
"Caulobacter","Puritan_buffer",0,0,10
"Caulobacter","Puritan_gel",0.2,2,10
"Caulobacteraceae","Copan",0,0,10
"Caulobacteraceae","Eswab",0,0,10
"Caulobacteraceae","Omni",0.1,1,10
"Caulobacteraceae","Puritan_buffer",0,0,10
"Caulobacteraceae","Puritan_gel",0,0,10
"Caulobacteraceae_f","Copan",0,0,10
"Caulobacteraceae_f","Eswab",0.2,2,10
"Caulobacteraceae_f","Omni",0.2,2,10
"Caulobacteraceae_f","Puritan_buffer",0.1,1,10
"Caulobacteraceae_f","Puritan_gel",0.1,1,10
"Cellulomonas","Copan",0.1,1,10
"Cellulomonas","Eswab",0,0,10
"Cellulomonas","Omni",0,0,10
"Cellulomonas","Puritan_buffer",0,0,10
"Cellulomonas","Puritan_gel",0.1,1,10
"Cellulosimicrobium","Copan",0,0,10
"Cellulosimicrobium","Eswab",0,0,10
"Cellulosimicrobium","Omni",0,0,10
"Cellulosimicrobium","Puritan_buffer",0,0,10
"Cellulosimicrobium","Puritan_gel",0.1,1,10
"Cellvibrio","Copan",0,0,10
"Cellvibrio","Eswab",0,0,10
"Cellvibrio","Omni",0,0,10
"Cellvibrio","Puritan_buffer",0,0,10
"Cellvibrio","Puritan_gel",0.1,1,10
"Christensenellaceae_R-7_group","Copan",0,0,10
"Christensenellaceae_R-7_group","Eswab",0.1,1,10
"Christensenellaceae_R-7_group","Omni",0,0,10
"Christensenellaceae_R-7_group","Puritan_buffer",0,0,10
"Christensenellaceae_R-7_group","Puritan_gel",0,0,10
"Chroococcidiopsaceae_f","Copan",0,0,10
"Chroococcidiopsaceae_f","Eswab",0.1,1,10
"Chroococcidiopsaceae_f","Omni",0.1,1,10
"Chroococcidiopsaceae_f","Puritan_buffer",0.1,1,10
"Chroococcidiopsaceae_f","Puritan_gel",0,0,10
"Chryseobacterium","Copan",0.3,3,10
"Chryseobacterium","Eswab",0.1,1,10
"Chryseobacterium","Omni",0.4,4,10
"Chryseobacterium","Puritan_buffer",0.4,4,10
"Chryseobacterium","Puritan_gel",0.3,3,10
"Ciceribacter","Copan",0,0,10
"Ciceribacter","Eswab",0,0,10
"Ciceribacter","Omni",0.1,1,10
"Ciceribacter","Puritan_buffer",0,0,10
"Ciceribacter","Puritan_gel",0,0,10
"Cloacibacterium","Copan",0.1,1,10
"Cloacibacterium","Eswab",0,0,10
"Cloacibacterium","Omni",0,0,10
"Cloacibacterium","Puritan_buffer",0.2,2,10
"Cloacibacterium","Puritan_gel",0.3,3,10
"Clostridia_UCG-014","Copan",0.1,1,10
"Clostridia_UCG-014","Eswab",0,0,10
"Clostridia_UCG-014","Omni",0,0,10
"Clostridia_UCG-014","Puritan_buffer",0.1,1,10
"Clostridia_UCG-014","Puritan_gel",0,0,10
"Clostridium_sensu_stricto_1","Copan",0.1,1,10
"Clostridium_sensu_stricto_1","Eswab",0,0,10
"Clostridium_sensu_stricto_1","Omni",0,0,10
"Clostridium_sensu_stricto_1","Puritan_buffer",0.2,2,10
"Clostridium_sensu_stricto_1","Puritan_gel",0,0,10
"Colidextribacter","Copan",0,0,10
"Colidextribacter","Eswab",0,0,10
"Colidextribacter","Omni",0,0,10
"Colidextribacter","Puritan_buffer",0,0,10
"Colidextribacter","Puritan_gel",0.1,1,10
"Comamonadaceae_f","Copan",0.1,1,10
"Comamonadaceae_f","Eswab",0,0,10
"Comamonadaceae_f","Omni",0.1,1,10
"Comamonadaceae_f","Puritan_buffer",0.1,1,10
"Comamonadaceae_f","Puritan_gel",0,0,10
"Comamonas","Copan",0,0,10
"Comamonas","Eswab",0,0,10
"Comamonas","Omni",0.1,1,10
"Comamonas","Puritan_buffer",0,0,10
"Comamonas","Puritan_gel",0.1,1,10
"Conexibacter","Copan",0,0,10
"Conexibacter","Eswab",0,0,10
"Conexibacter","Omni",0,0,10
"Conexibacter","Puritan_buffer",0.1,1,10
"Conexibacter","Puritan_gel",0.2,2,10
"Coriobacteriales_o","Copan",0,0,10
"Coriobacteriales_o","Eswab",0,0,10
"Coriobacteriales_o","Omni",0,0,10
"Coriobacteriales_o","Puritan_buffer",0.1,1,10
"Coriobacteriales_o","Puritan_gel",0,0,10
"Corynebacteriaceae","Copan",0.1,1,10
"Corynebacteriaceae","Eswab",0.1,1,10
"Corynebacteriaceae","Omni",0.1,1,10
"Corynebacteriaceae","Puritan_buffer",0.1,1,10
"Corynebacteriaceae","Puritan_gel",0.2,2,10
"Corynebacteriaceae_f","Copan",0.9,9,10
"Corynebacteriaceae_f","Eswab",1,10,10
"Corynebacteriaceae_f","Omni",0.9,9,10
"Corynebacteriaceae_f","Puritan_buffer",1,10,10
"Corynebacteriaceae_f","Puritan_gel",0.9,9,10
"Corynebacteriales_o","Copan",0,0,10
"Corynebacteriales_o","Eswab",0,0,10
"Corynebacteriales_o","Omni",0.1,1,10
"Corynebacteriales_o","Puritan_buffer",0.1,1,10
"Corynebacteriales_o","Puritan_gel",0,0,10
"Corynebacterium","Copan",1,10,10
"Corynebacterium","Eswab",0.9,9,10
"Corynebacterium","Omni",1,10,10
"Corynebacterium","Puritan_buffer",0.9,9,10
"Corynebacterium","Puritan_gel",1,10,10
"Coxiella","Copan",0.1,1,10
"Coxiella","Eswab",0,0,10
"Coxiella","Omni",0,0,10
"Coxiella","Puritan_buffer",0,0,10
"Coxiella","Puritan_gel",0,0,10
"Craurococcus-Caldovatus","Copan",0,0,10
"Craurococcus-Caldovatus","Eswab",0,0,10
"Craurococcus-Caldovatus","Omni",0.1,1,10
"Craurococcus-Caldovatus","Puritan_buffer",0.1,1,10
"Craurococcus-Caldovatus","Puritan_gel",0,0,10
"Cupriavidus","Copan",0.1,1,10
"Cupriavidus","Eswab",0,0,10
"Cupriavidus","Omni",0,0,10
"Cupriavidus","Puritan_buffer",0,0,10
"Cupriavidus","Puritan_gel",0.2,2,10
"Cutibacterium","Copan",1,10,10
"Cutibacterium","Eswab",1,10,10
"Cutibacterium","Omni",1,10,10
"Cutibacterium","Puritan_buffer",1,10,10
"Cutibacterium","Puritan_gel",1,10,10
"Cyanobacteriales_o","Copan",0,0,10
"Cyanobacteriales_o","Eswab",0.1,1,10
"Cyanobacteriales_o","Omni",0,0,10
"Cyanobacteriales_o","Puritan_buffer",0,0,10
"Cyanobacteriales_o","Puritan_gel",0,0,10
"D05-2","Copan",0,0,10
"D05-2","Eswab",0,0,10
"D05-2","Omni",0,0,10
"D05-2","Puritan_buffer",0,0,10
"D05-2","Puritan_gel",0.1,1,10
"Deinococcus","Copan",0.2,2,10
"Deinococcus","Eswab",0.2,2,10
"Deinococcus","Omni",0.2,2,10
"Deinococcus","Puritan_buffer",0.2,2,10
"Deinococcus","Puritan_gel",0.2,2,10
"Delftia","Copan",0,0,10
"Delftia","Eswab",0,0,10
"Delftia","Omni",0,0,10
"Delftia","Puritan_buffer",0.1,1,10
"Delftia","Puritan_gel",0,0,10
"Dermabacter","Copan",0.2,2,10
"Dermabacter","Eswab",0.1,1,10
"Dermabacter","Omni",0.1,1,10
"Dermabacter","Puritan_buffer",0,0,10
"Dermabacter","Puritan_gel",0.1,1,10
"Dermacoccus","Copan",0.2,2,10
"Dermacoccus","Eswab",0.2,2,10
"Dermacoccus","Omni",0.2,2,10
"Dermacoccus","Puritan_buffer",0.2,2,10
"Dermacoccus","Puritan_gel",0.2,2,10
"Devosia","Copan",0.1,1,10
"Devosia","Eswab",0,0,10
"Devosia","Omni",0.2,2,10
"Devosia","Puritan_buffer",0.2,2,10
"Devosia","Puritan_gel",0.1,1,10
"Devosiaceae_f","Copan",0,0,10
"Devosiaceae_f","Eswab",0,0,10
"Devosiaceae_f","Omni",0.1,1,10
"Devosiaceae_f","Puritan_buffer",0.1,1,10
"Devosiaceae_f","Puritan_gel",0.1,1,10
"Diaminobutyricimonas","Copan",0,0,10
"Diaminobutyricimonas","Eswab",0,0,10
"Diaminobutyricimonas","Omni",0.1,1,10
"Diaminobutyricimonas","Puritan_buffer",0,0,10
"Diaminobutyricimonas","Puritan_gel",0,0,10
"Dietzia","Copan",0.4,4,10
"Dietzia","Eswab",0.5,5,10
"Dietzia","Omni",0.3,3,10
"Dietzia","Puritan_buffer",0.4,4,10
"Dietzia","Puritan_gel",0.3,3,10
"Dorea","Copan",0,0,10
"Dorea","Eswab",0.1,1,10
"Dorea","Omni",0,0,10
"Dorea","Puritan_buffer",0,0,10
"Dorea","Puritan_gel",0.1,1,10
"Dubosiella","Copan",0.1,1,10
"Dubosiella","Eswab",0,0,10
"Dubosiella","Omni",0.1,1,10
"Dubosiella","Puritan_buffer",0,0,10
"Dubosiella","Puritan_gel",0,0,10
"Dyadobacter","Copan",0,0,10
"Dyadobacter","Eswab",0,0,10
"Dyadobacter","Omni",0.1,1,10
"Dyadobacter","Puritan_buffer",0,0,10
"Dyadobacter","Puritan_gel",0,0,10
"EcFYyy-200","Copan",0,0,10
"EcFYyy-200","Eswab",0,0,10
"EcFYyy-200","Omni",0.1,1,10
"EcFYyy-200","Puritan_buffer",0,0,10
"EcFYyy-200","Puritan_gel",0,0,10
"Empedobacter","Copan",0.1,1,10
"Empedobacter","Eswab",0,0,10
"Empedobacter","Omni",0,0,10
"Empedobacter","Puritan_buffer",0,0,10
"Empedobacter","Puritan_gel",0,0,10
"Enhydrobacter","Copan",0.6,6,10
"Enhydrobacter","Eswab",0.3,3,10
"Enhydrobacter","Omni",0.6,6,10
"Enhydrobacter","Puritan_buffer",0.4,4,10
"Enhydrobacter","Puritan_gel",0.5,5,10
"Ensifer","Copan",0.2,2,10
"Ensifer","Eswab",0,0,10
"Ensifer","Omni",0.1,1,10
"Ensifer","Puritan_buffer",0.1,1,10
"Ensifer","Puritan_gel",0.2,2,10
"Enterobacterales_o","Copan",0,0,10
"Enterobacterales_o","Eswab",0,0,10
"Enterobacterales_o","Omni",0,0,10
"Enterobacterales_o","Puritan_buffer",0.1,1,10
"Enterobacterales_o","Puritan_gel",0,0,10
"Enterobacteriaceae_f","Copan",0,0,10
"Enterobacteriaceae_f","Eswab",0,0,10
"Enterobacteriaceae_f","Omni",0,0,10
"Enterobacteriaceae_f","Puritan_buffer",0.1,1,10
"Enterobacteriaceae_f","Puritan_gel",0.1,1,10
"Eremococcus","Copan",0.1,1,10
"Eremococcus","Eswab",0.2,2,10
"Eremococcus","Omni",0.1,1,10
"Eremococcus","Puritan_buffer",0.2,2,10
"Eremococcus","Puritan_gel",0.1,1,10
"Erwiniaceae_f","Copan",0.1,1,10
"Erwiniaceae_f","Eswab",0,0,10
"Erwiniaceae_f","Omni",0,0,10
"Erwiniaceae_f","Puritan_buffer",0.1,1,10
"Erwiniaceae_f","Puritan_gel",0.1,1,10
"Erysipelothrix","Copan",0,0,10
"Erysipelothrix","Eswab",0.1,1,10
"Erysipelothrix","Omni",0,0,10
"Erysipelothrix","Puritan_buffer",0,0,10
"Erysipelothrix","Puritan_gel",0,0,10
"Erysipelotrichaceae_UCG-003","Copan",0,0,10
"Erysipelotrichaceae_UCG-003","Eswab",0,0,10
"Erysipelotrichaceae_UCG-003","Omni",0,0,10
"Erysipelotrichaceae_UCG-003","Puritan_buffer",0,0,10
"Erysipelotrichaceae_UCG-003","Puritan_gel",0.1,1,10
"Ezakiella","Copan",0,0,10
"Ezakiella","Eswab",0,0,10
"Ezakiella","Omni",0,0,10
"Ezakiella","Puritan_buffer",0.1,1,10
"Ezakiella","Puritan_gel",0.1,1,10
"Facklamia","Copan",0.1,1,10
"Facklamia","Eswab",0,0,10
"Facklamia","Omni",0,0,10
"Facklamia","Puritan_buffer",0,0,10
"Facklamia","Puritan_gel",0,0,10
"Family_XI_f","Copan",0.1,1,10
"Family_XI_f","Eswab",0,0,10
"Family_XI_f","Omni",0,0,10
"Family_XI_f","Puritan_buffer",0.1,1,10
"Family_XI_f","Puritan_gel",0,0,10
"Fenollaria","Copan",0,0,10
"Fenollaria","Eswab",0,0,10
"Fenollaria","Omni",0,0,10
"Fenollaria","Puritan_buffer",0.1,1,10
"Fenollaria","Puritan_gel",0,0,10
"Fictibacillus","Copan",0,0,10
"Fictibacillus","Eswab",0,0,10
"Fictibacillus","Omni",0.1,1,10
"Fictibacillus","Puritan_buffer",0,0,10
"Fictibacillus","Puritan_gel",0.1,1,10
"Filifactor","Copan",0,0,10
